P(boon,|"'a) = 100%	
P(ordered|himself,) = 4%	
P(if|himself,) = 8%	
P(with|himself,) = 4%	
P(having|himself,) = 4%	
P(adding,|himself,) = 4%	
P(he|himself,) = 8%	
P(he|himself,") = 100%	
P(his|himself.) = 8%	
P(from|himself.) = 8%	
P(eudes,|himself.) = 8%	
P(to|himself.) = 8%	
P(see|himself.) = 17%	
P(alfred|himself.) = 8%	
P(the|himself.) = 25%	
P(he|himself.) = 17%	
P(it|himself.") = 100%	
P(but|himself;) = 100%	
P(a|hincmar,) = 50%	
P(archbishop|hincmar,) = 50%	
P(the|hinder) = 100%	
P(chief|hindu) = 20%	
P(kush.|hindu) = 20%	
P(dynasties|hindu) = 20%	
P(kush,|hindu) = 20%	
P(prince|hindu) = 20%	
P(had|hindu,) = 100%	
P(by|hindu.) = 100%	
P(and|hinduism) = 33%	
P(was|hinduism) = 33%	
P(in|hinduism) = 33%	
P(that|hindus) = 17%	
P(of|hindus) = 17%	
P(had|hindus) = 17%	
P(through|hindus) = 17%	
P(were|hindus) = 17%	
P(with|hindus) = 17%	
P(account|hindus--on) = 100%	
P(in|hindus.) = 100%	
P(to|hindustan) = 33%	
P(had|hindustan) = 33%	
P(would|hindustan) = 33%	
P(and|hindustan,) = 33%	
P(who|hindustan,) = 33%	
P(which|hindustan,) = 33%	
P(he|hindustan.) = 33%	
P(it|hindustan.) = 33%	
P(bakhera|hindustan.) = 33%	
P(and|hinguar) = 50%	
P(in|hinguar) = 50%	
P(the|hinguar,) = 100%	
P(doubts|hint) = 100%	
P(at;|hinted) = 100%	
P(to|hired) = 50%	
P(men|hired) = 50%	
P(who|hirminger,) = 100%	
P(government,|his) = 0%	
P(elevation,|his) = 0%	
P(government.|his) = 0%	
P(writings|his) = 0%	
P(virgin|his) = 0%	
P(reform.|his) = 0%	
P(son,|his) = 1%	
P(eldest|his) = 0%	
P(bravest|his) = 0%	
P(compact,|his) = 0%	
P(protest|his) = 0%	
P(barons|his) = 0%	
P(government:|his) = 0%	
P(skin|his) = 0%	
P(chair|his) = 0%	
P(domestics,|his) = 0%	
P(party.|his) = 0%	
P(children|his) = 0%	
P(vassals|his) = 0%	
P(devoted|his) = 0%	
P(time,|his) = 0%	
P(fits|his) = 0%	
P(duty.|his) = 0%	
P(pardon,|his) = 0%	
P(father|his) = 0%	
P(time.|his) = 0%	
P(spirit|his) = 0%	
P(presents|his) = 0%	
P(standard.|his) = 0%	
P(post,|his) = 0%	
P(position,|his) = 0%	
P(mother,|his) = 0%	
P(lord|his) = 0%	
P(fatal|his) = 0%	
P(fancied|his) = 0%	
P(vassal,|his) = 0%	
P(decision,|his) = 0%	
P(appointment|his) = 0%	
P(very|his) = 0%	
P(sceptre|his) = 0%	
P(prudence|his) = 0%	
P(tent|his) = 0%	
P(reading,|his) = 0%	
P(bosom.|his) = 0%	
P(helmet|his) = 0%	
P(sons|his) = 0%	
P(uncle;|his) = 0%	
P(affairs,|his) = 0%	
P(tears:|his) = 0%	
P(vast|his) = 0%	
P(_hagib_,|his) = 0%	
P(detested|his) = 0%	
P(death--the|his) = 0%	
P(profligacy|his) = 0%	
P(holiness|his) = 0%	
P(help.|his) = 0%	
P(confederates|his) = 0%	
P(brother|his) = 1%	
P(superstition.|his) = 0%	
P(grandfather|his) = 0%	
P(queen|his) = 0%	
P(race|his) = 0%	
P(intentions,|his) = 0%	
P(grave.|his) = 0%	
P(victory|his) = 0%	
P(spiritual|his) = 0%	
P(employing|his) = 0%	
P(helmet;|his) = 0%	
P(object,|his) = 0%	
P(domains;|his) = 0%	
P(horn|his) = 0%	
P(past|his) = 0%	
P(second|his) = 0%	
P(rival,|his) = 0%	
P(valiant|his) = 0%	
P(soldiers|his) = 0%	
P(wiles."|his) = 0%	
P(helmet,|his) = 0%	
P(theory|his) = 0%	
P(will|his) = 0%	
P(turn|his) = 0%	
P(defence|his) = 0%	
P(successor,|his) = 0%	
P(revenues|his) = 0%	
P(religious|his) = 0%	
P(assistance|his) = 0%	
P(brief|his) = 0%	
P(adversary's|his) = 0%	
P(experiment|his) = 0%	
P(life.|his) = 0%	
P(conduct|his) = 0%	
P(vassals;|his) = 0%	
P(guilt|his) = 0%	
P(principal|his) = 0%	
P(chroniclers,|his) = 0%	
P(long-handled|his) = 0%	
P(body|his) = 0%	
P(fathers,|his) = 0%	
P(christian|his) = 0%	
P(writings.|his) = 0%	
P(men|his) = 0%	
P(kindred|his) = 0%	
P(equals|his) = 0%	
P(faults,|his) = 0%	
P(tents,|his) = 0%	
P(youngest|his) = 0%	
P(wild|his) = 0%	
P(borders,|his) = 0%	
P(fleet|his) = 0%	
P(standard;|his) = 0%	
P(inheritance,|his) = 0%	
P(inmost|his) = 0%	
P(brethren,|his) = 0%	
P(playmates|his) = 0%	
P(great|his) = 0%	
P(generals|his) = 0%	
P(daughter|his) = 0%	
P(thirty|his) = 0%	
P(calmness,|his) = 0%	
P(wandering|his) = 0%	
P(mantle,"|his) = 0%	
P(bow|his) = 0%	
P(benevolence|his) = 0%	
P(share.|his) = 0%	
P(survey|his) = 0%	
P(guidance,"|his) = 0%	
P(defeat|his) = 0%	
P(action|his) = 0%	
P(military|his) = 0%	
P(stand,|his) = 0%	
P(successors|his) = 0%	
P(ruin|his) = 0%	
P(war-horse;|his) = 0%	
P(ships|his) = 0%	
P(boyars|his) = 0%	
P(crusading|his) = 0%	
P(name."|his) = 0%	
P(insolent|his) = 0%	
P(addresses|his) = 0%	
P(family|his) = 0%	
P(deputy|his) = 0%	
P(cowardly|his) = 0%	
P(innocence|his) = 0%	
P(usurpation|his) = 0%	
P(coffin;|his) = 0%	
P(summons|his) = 0%	
P(hardy|his) = 0%	
P(chamberlains,|his) = 0%	
P(relations,|his) = 0%	
P(moral|his) = 0%	
P(patroness,|his) = 0%	
P(connivance."|his) = 0%	
P(horse.|his) = 0%	
P(horse,|his) = 0%	
P(empress,|his) = 0%	
P(confidence|his) = 0%	
P(capacity.|his) = 0%	
P(eye|his) = 0%	
P(troops|his) = 0%	
P(weakness,|his) = 0%	
P(army|his) = 1%	
P(moorish|his) = 0%	
P(destination|his) = 0%	
P(leading.|his) = 0%	
P(district.|his) = 0%	
P(next|his) = 0%	
P(occupying|his) = 0%	
P(few|his) = 0%	
P(service-book|his) = 0%	
P(successors,|his) = 0%	
P(successors.|his) = 0%	
P(memory|his) = 0%	
P(defeat.|his) = 0%	
P(inclination.|his) = 0%	
P(cheeks|his) = 0%	
P(opponent,|his) = 0%	
P(entrance|his) = 0%	
P(birthright.|his) = 0%	
P(groans,|his) = 0%	
P(holy|his) = 0%	
P(faith|his) = 0%	
P(men;|his) = 0%	
P(company|his) = 0%	
P(heir|his) = 0%	
P(wars|his) = 0%	
P(reign|his) = 1%	
P(bodily|his) = 0%	
P(resolutions.|his) = 0%	
P(towns|his) = 0%	
P(haste,|his) = 0%	
P(rare|his) = 0%	
P(standard-bearers.|his) = 0%	
P(appointed|his) = 0%	
P(chaplain|his) = 0%	
P(supremacy|his) = 0%	
P(keeping|his) = 0%	
P(inclinations|his) = 0%	
P(word|his) = 0%	
P(piety|his) = 0%	
P(aulis.|his) = 0%	
P(rights|his) = 0%	
P(books,|his) = 0%	
P(ordinations|his) = 0%	
P(work|his) = 0%	
P(imagination,|his) = 0%	
P(minister.|his) = 0%	
P(offended|his) = 0%	
P(wives,|his) = 0%	
P(fellow-barons,|his) = 0%	
P(servants|his) = 0%	
P(island|his) = 0%	
P(kinsmen.|his) = 0%	
P(treaty|his) = 0%	
P(example|his) = 0%	
P(fortress|his) = 0%	
P(quarrel|his) = 0%	
P(control|his) = 0%	
P(claim|his) = 0%	
P(weaker|his) = 0%	
P(quiver|his) = 0%	
P(figure|his) = 0%	
P(favorite|his) = 0%	
P(household|his) = 0%	
P(share|his) = 0%	
P(terrible|his) = 0%	
P(high|his) = 0%	
P(fortunes|his) = 0%	
P(tenants,|his) = 0%	
P(want|his) = 0%	
P(sense|his) = 0%	
P(bones|his) = 0%	
P(mouth,|his) = 0%	
P(instructions.|his) = 0%	
P(native|his) = 0%	
P(practical|his) = 0%	
P(educational|his) = 0%	
P(conquest,|his) = 0%	
P(end|his) = 0%	
P(winter|his) = 0%	
P(uncle,|his) = 0%	
P(inheritance|his) = 0%	
P(ordinance|his) = 0%	
P(agony|his) = 0%	
P(eloquent|his) = 0%	
P(cruelty--haughty,|his) = 0%	
P(march|his) = 0%	
P(faults|his) = 0%	
P(numerous|his) = 0%	
P(fourth|his) = 0%	
P(ornaments.|his) = 0%	
P(creature|his) = 0%	
P(weapons,|his) = 0%	
P(plans|his) = 0%	
P(rude|his) = 0%	
P(assistance,|his) = 0%	
P(lord;|his) = 0%	
P(fancy,|his) = 0%	
P(oration|his) = 0%	
P(long|his) = 0%	
P(chiefs|his) = 0%	
P(dukedom,|his) = 0%	
P(purpose,|his) = 0%	
P(predecessors.|his) = 0%	
P(coming|his) = 0%	
P(courage,|his) = 0%	
P(requirements|his) = 0%	
P(courts,|his) = 0%	
P(lord.|his) = 0%	
P(misfortune.|his) = 0%	
P(fellows.|his) = 0%	
P(misfortune,|his) = 0%	
P(seljukian|his) = 0%	
P(heart,|his) = 0%	
P(four|his) = 0%	
P(priestly|his) = 0%	
P(coat|his) = 0%	
P(influence.|his) = 0%	
P(enemies,|his) = 0%	
P(departure|his) = 0%	
P(enemies.|his) = 0%	
P(comrades,|his) = 0%	
P(chief|his) = 0%	
P(comrades.|his) = 0%	
P(silence|his) = 0%	
P(sister-in-law,|his) = 0%	
P(wife,|his) = 0%	
P(memory.|his) = 0%	
P(enemies;|his) = 0%	
P(conquests|his) = 0%	
P(order|his) = 0%	
P(reforming|his) = 0%	
P(army,|his) = 0%	
P(emotion|his) = 0%	
P(army.|his) = 0%	
P(shield|his) = 0%	
P(office|his) = 0%	
P(hand,|his) = 0%	
P(consent|his) = 0%	
P(hand.|his) = 0%	
P(grandfather,|his) = 0%	
P(mission|his) = 0%	
P(rebellious|his) = 0%	
P(course|his) = 0%	
P(own|his) = 5%	
P(army;|his) = 0%	
P(throne,|his) = 0%	
P("beloved|his) = 0%	
P(fealty|his) = 0%	
P(outer|his) = 0%	
P(haughty|his) = 0%	
P(chosen|his) = 0%	
P(designs.|his) = 0%	
P(last-born.|his) = 0%	
P(bosom|his) = 0%	
P(retinue,|his) = 0%	
P(crew|his) = 0%	
P(ale,|his) = 0%	
P(absence|his) = 0%	
P(hatchet;|his) = 0%	
P(nephew,|his) = 0%	
P(policy|his) = 0%	
P(nobles|his) = 0%	
P(master,|his) = 0%	
P(ally|his) = 0%	
P(colleague|his) = 0%	
P(good|his) = 0%	
P(behests.|his) = 0%	
P(patrimony|his) = 0%	
P(later|his) = 0%	
P(descendants|his) = 0%	
P(obedience.|his) = 0%	
P(grandson|his) = 0%	
P(half-brother,|his) = 0%	
P(religion,|his) = 0%	
P(friends;|his) = 0%	
P(knights|his) = 0%	
P(followers,|his) = 0%	
P(cutting|his) = 0%	
P(probity,|his) = 0%	
P(soldiers,|his) = 0%	
P(ambition|his) = 0%	
P(foot|his) = 0%	
P(passions.|his) = 0%	
P(sake."|his) = 0%	
P(forehead.|his) = 0%	
P(day|his) = 0%	
P(instructions|his) = 0%	
P(fine,|his) = 0%	
P(meat|his) = 0%	
P(_roman|his) = 0%	
P(manorial|his) = 0%	
P(guard|his) = 0%	
P(eloquence|his) = 0%	
P(wooden|his) = 0%	
P(counsels.|his) = 0%	
P(mode|his) = 0%	
P(faith--his|his) = 0%	
P(side|his) = 0%	
P(sanguinary|his) = 0%	
P(luck|his) = 0%	
P(heavy|his) = 0%	
P(grandeur,|his) = 0%	
P(advantage,|his) = 0%	
P(treacherous|his) = 0%	
P(house,|his) = 0%	
P(duchess|his) = 0%	
P(books|his) = 0%	
P(_wazirs_|his) = 0%	
P(enemy's|his) = 0%	
P(entering|his) = 0%	
P(return|his) = 0%	
P(assault,|his) = 0%	
P(successes|his) = 0%	
P(purpose;|his) = 0%	
P(gallant|his) = 0%	
P(death-bed,|his) = 0%	
P(lance,|his) = 0%	
P(intercourse|his) = 0%	
P(time;|his) = 0%	
P(armor|his) = 0%	
P(god|his) = 0%	
P(views|his) = 0%	
P(palace,|his) = 0%	
P(vessels|his) = 0%	
P(rival|his) = 0%	
P(son;|his) = 0%	
P(kingdom,|his) = 0%	
P(day,|his) = 0%	
P(nominal|his) = 0%	
P(oriental|his) = 0%	
P(court;|his) = 0%	
P(reader|his) = 0%	
P(stead|his) = 0%	
P(confidants,|his) = 0%	
P(troop|his) = 0%	
P(disaster.|his) = 0%	
P(weaknesses|his) = 0%	
P(belief|his) = 0%	
P(aid,|his) = 0%	
P(personal|his) = 0%	
P(defence,|his) = 0%	
P(summonses|his) = 0%	
P(friends.|his) = 0%	
P(little|his) = 0%	
P(standard|his) = 0%	
P(directions,|his) = 0%	
P(barons,|his) = 0%	
P(base|his) = 0%	
P(success|his) = 0%	
P(council,|his) = 0%	
P(conflicts|his) = 0%	
P(_institutions_;|his) = 0%	
P(reinstatement|his) = 0%	
P(adherents,|his) = 0%	
P(support,|his) = 0%	
P(demands.|his) = 0%	
P(selections|his) = 0%	
P(empire;|his) = 0%	
P(thoughts,|his) = 0%	
P(days|his) = 0%	
P(praises|his) = 0%	
P(afflictions|his) = 0%	
P(fellow,|his) = 0%	
P(stature|his) = 0%	
P(tactics,|his) = 0%	
P(person|his) = 0%	
P(place|his) = 0%	
P(hedge,|his) = 0%	
P(barriers|his) = 0%	
P(castle|his) = 0%	
P(view|his) = 0%	
P(fallen|his) = 0%	
P(empire.|his) = 0%	
P(empire,|his) = 0%	
P(blind|his) = 0%	
P(revenues;|his) = 0%	
P(dwelling|his) = 0%	
P(surviving|his) = 0%	
P(revenue|his) = 0%	
P(meadows.|his) = 0%	
P(supper|his) = 0%	
P(powerful|his) = 0%	
P(rank|his) = 0%	
P(feet|his) = 0%	
P(elder|his) = 0%	
P(kindred;|his) = 0%	
P(commissioners|his) = 0%	
P(faithfulness;|his) = 0%	
P(generosity,|his) = 0%	
P(tenure|his) = 0%	
P(embassy,|his) = 0%	
P(enemies."|his) = 0%	
P(blows|his) = 0%	
P(protectors|his) = 0%	
P(city|his) = 0%	
P(horse|his) = 0%	
P(ancient|his) = 0%	
P(wrath|his) = 0%	
P(renderings|his) = 0%	
P(family.|his) = 0%	
P(family,|his) = 0%	
P(flatterers,|his) = 0%	
P(hillock,|his) = 0%	
P(aim,|his) = 0%	
P(confirming|his) = 0%	
P(station|his) = 0%	
P(favor.|his) = 0%	
P(new-acquired|his) = 0%	
P(master|his) = 0%	
P(approach.|his) = 0%	
P(cup-bearer,|his) = 0%	
P(attendants|his) = 0%	
P(danish|his) = 0%	
P(eyes|his) = 0%	
P(reign,|his) = 0%	
P(shoulder,|his) = 0%	
P(blow.|his) = 0%	
P(rivals.|his) = 0%	
P(men-at-arms|his) = 0%	
P(immediate|his) = 0%	
P(followers.|his) = 0%	
P(part|his) = 0%	
P(credentials.|his) = 0%	
P(western|his) = 0%	
P(peculiar|his) = 0%	
P(appeal.|his) = 0%	
P(body,|his) = 0%	
P(coronation|his) = 0%	
P(stirrups,|his) = 0%	
P(infantry,|his) = 0%	
P(bed|his) = 0%	
P(bravery,|his) = 0%	
P(youth|his) = 0%	
P(authority.|his) = 0%	
P(idle|his) = 0%	
P(authority,|his) = 0%	
P(exclusive|his) = 0%	
P(dorsetshire|his) = 0%	
P(countess|his) = 0%	
P(countrymen,|his) = 0%	
P(queen,|his) = 0%	
P(queen.|his) = 0%	
P(angel|his) = 0%	
P(service,|his) = 0%	
P(part,|his) = 0%	
P(mind|his) = 0%	
P(kinsman.|his) = 0%	
P(comrades|his) = 0%	
P(fault,|his) = 0%	
P(countryman|his) = 0%	
P(adversary.|his) = 0%	
P(orders|his) = 0%	
P(spade|his) = 0%	
P(byzantine|his) = 0%	
P(catholic|his) = 0%	
P(disciples,|his) = 0%	
P(predecessors."|his) = 0%	
P(generals.|his) = 0%	
P(greek|his) = 0%	
P(words|his) = 0%	
P(warriors|his) = 0%	
P(veteran|his) = 0%	
P(large-hearted|his) = 0%	
P(officers|his) = 0%	
P(outward|his) = 0%	
P(subjects|his) = 0%	
P(forces|his) = 0%	
P(pilgrimage|his) = 0%	
P(stead.|his) = 0%	
P(motives.|his) = 0%	
P(age?|his) = 0%	
P(horse's|his) = 0%	
P(coronation,|his) = 0%	
P(voice;|his) = 0%	
P(ascendency|his) = 0%	
P(weakness|his) = 0%	
P(measures|his) = 0%	
P(epistles.|his) = 0%	
P(mercians,|his) = 0%	
P(voice,|his) = 0%	
P(complaints,|his) = 0%	
P(courtesy|his) = 0%	
P(age,|his) = 0%	
P(portion|his) = 0%	
P(expedition:|his) = 0%	
P(brother-in-law|his) = 0%	
P(glistening|his) = 0%	
P(munificent|his) = 0%	
P(future|his) = 0%	
P(rock,|his) = 0%	
P(tongue.|his) = 0%	
P(warrantor,|his) = 0%	
P(strength,|his) = 0%	
P(bishops|his) = 0%	
P(chronicle|his) = 0%	
P(dominions.|his) = 0%	
P(oath|his) = 0%	
P(dominions,|his) = 0%	
P(camp|his) = 0%	
P(request|his) = 0%	
P(faithless|his) = 0%	
P(face|his) = 0%	
P(traditional|his) = 0%	
P(master's|his) = 0%	
P(proceedings|his) = 0%	
P(slaves|his) = 0%	
P(enterprise|his) = 0%	
P(pupil.|his) = 0%	
P(senior|his) = 0%	
P(scholarship|his) = 0%	
P(dominions;|his) = 0%	
P(nobility|his) = 0%	
P(laws|his) = 0%	
P(son|his) = 1%	
P(troops.|his) = 0%	
P(gold|his) = 0%	
P(departing|his) = 0%	
P(jurisdiction|his) = 0%	
P(scattered|his) = 0%	
P(accession|his) = 0%	
P(noblest|his) = 0%	
P(clerk;|his) = 0%	
P(turn,|his) = 0%	
P(dream.|his) = 0%	
P(relation|his) = 0%	
P(kinsman,|his) = 0%	
P(avarice,|his) = 0%	
P(line|his) = 0%	
P(pastoral|his) = 0%	
P(grandmother|his) = 0%	
P(cruises,|his) = 0%	
P(knowledge|his) = 0%	
P(infirmities|his) = 0%	
P(title|his) = 0%	
P(true|his) = 0%	
P(principality|his) = 0%	
P(general-in-chief|his) = 0%	
P(unhappy|his) = 0%	
P(only|his) = 0%	
P(successor;|his) = 0%	
P(black|his) = 0%	
P(land.|his) = 0%	
P(pleasure,|his) = 0%	
P(thick-skinned|his) = 0%	
P(_life|his) = 0%	
P(enthusiasm|his) = 0%	
P(hearers|his) = 0%	
P(dispute|his) = 0%	
P(loss|his) = 0%	
P(fellow-men,|his) = 0%	
P(means|his) = 0%	
P(ardor|his) = 0%	
P(hostility|his) = 0%	
P(watch,|his) = 0%	
P(first|his) = 0%	
P(enthusiastic|his) = 0%	
P(courage|his) = 0%	
P(throne;|his) = 0%	
P(nobles,|his) = 0%	
P(new|his) = 0%	
P(journey,|his) = 0%	
P(strength.|his) = 0%	
P(journey.|his) = 0%	
P(banner|his) = 0%	
P(archiepiscopal|his) = 0%	
P(kindly|his) = 0%	
P(grievances|his) = 0%	
P(anchors,|his) = 0%	
P(word";|his) = 0%	
P(folk,|his) = 0%	
P(man,|his) = 0%	
P(pagan|his) = 0%	
P(violent|his) = 0%	
P(sojourn|his) = 0%	
P(men,|his) = 0%	
P(control,|his) = 0%	
P(men.|his) = 0%	
P(cousin.|his) = 0%	
P(reserve|his) = 0%	
P(situation,|his) = 0%	
P(activity|his) = 0%	
P(baldric|his) = 0%	
P(excesses|his) = 0%	
P(movement|his) = 0%	
P(ferocity.|his) = 0%	
P(neighbors.|his) = 0%	
P(war-horse,|his) = 0%	
P(brothers,|his) = 0%	
P(keen-edged|his) = 0%	
P(honesty|his) = 0%	
P(skull.|his) = 0%	
P(reign.|his) = 0%	
P(labors|his) = 0%	
P(statements,|his) = 0%	
P(ministers|his) = 0%	
P(aims|his) = 0%	
P(legatine|his) = 0%	
P(retreat,|his) = 0%	
P(arm|his) = 0%	
P(best|his) = 0%	
P(wonder|his) = 0%	
P(voyage|his) = 0%	
P(account,"|his) = 0%	
P(capacity|his) = 0%	
P(wealth|his) = 0%	
P(guardian,|his) = 0%	
P(attempting|his) = 0%	
P(face,|his) = 0%	
P(sovereign,|his) = 0%	
P(vows|his) = 0%	
P(misfortunes|his) = 0%	
P(father's|his) = 1%	
P(mind,|his) = 0%	
P(cardinals,|his) = 0%	
P(injustice|his) = 0%	
P(saxons|his) = 0%	
P(mission.|his) = 0%	
P(drawn|his) = 0%	
P(estate;|his) = 0%	
P(man.|his) = 0%	
P(command.|his) = 0%	
P(multiplied|his) = 0%	
P(uncle.|his) = 0%	
P(attention|his) = 0%	
P(weak|his) = 0%	
P(ignorance|his) = 0%	
P(sins|his) = 0%	
P(pride|his) = 0%	
P(countenance|his) = 0%	
P(french|his) = 0%	
P(head.|his) = 0%	
P(cousin|his) = 0%	
P(power.|his) = 0%	
P(cities|his) = 0%	
P(father,"|his) = 0%	
P(rapacity,|his) = 0%	
P(regular|his) = 0%	
P(shield.|his) = 0%	
P(foes|his) = 0%	
P(shield,|his) = 0%	
P(last|his) = 0%	
P(brothers-in-law,|his) = 0%	
P(country|his) = 0%	
P(priests|his) = 0%	
P(sons,|his) = 0%	
P(forced|his) = 0%	
P(temper|his) = 0%	
P(danes,|his) = 0%	
P(protection|his) = 0%	
P(estates|his) = 0%	
P(shield;|his) = 0%	
P(office.|his) = 0%	
P(ambition,|his) = 0%	
P(see,|his) = 0%	
P(whole|his) = 0%	
P(adherents|his) = 0%	
P(duty|his) = 0%	
P(sobriety,|his) = 0%	
P(office,|his) = 0%	
P(tone|his) = 0%	
P(majesty|his) = 0%	
P(simple|his) = 0%	
P(royal|his) = 0%	
P(realm.|his) = 0%	
P(race,|his) = 0%	
P(allies,|his) = 0%	
P(race.|his) = 0%	
P(gentleness,|his) = 0%	
P(captains,|his) = 0%	
P("baby|his) = 0%	
P(church|his) = 0%	
P(perfidious|his) = 0%	
P(writing|his) = 0%	
P(sacrilege;|his) = 0%	
P(late|his) = 0%	
P(most|his) = 0%	
P(letters.|his) = 0%	
P(own,|his) = 0%	
P(march,|his) = 0%	
P(accession,|his) = 0%	
P(political|his) = 0%	
P(three|his) = 0%	
P(canoe.|his) = 0%	
P(rivals|his) = 0%	
P(election,|his) = 0%	
P(treasurer,|his) = 0%	
P(interest|his) = 0%	
P(conquests,|his) = 0%	
P(proposal|his) = 0%	
P(conquests.|his) = 0%	
P(home.|his) = 0%	
P(summary|his) = 0%	
P(armies,|his) = 0%	
P(citadel|his) = 0%	
P(firm|his) = 0%	
P(misfortunes,|his) = 0%	
P(life|his) = 0%	
P(relations|his) = 0%	
P(flight|his) = 0%	
P(retinue|his) = 0%	
P(administration.|his) = 0%	
P(government|his) = 0%	
P(blessing|his) = 0%	
P(success:|his) = 0%	
P(baptism.|his) = 0%	
P(position|his) = 0%	
P(nobleness|his) = 0%	
P(demand|his) = 0%	
P(ancestors,|his) = 0%	
P(opponents,|his) = 0%	
P(ancestors.|his) = 0%	
P(inconsiderate|his) = 0%	
P(former|his) = 0%	
P(conception|his) = 0%	
P(provencals.|his) = 0%	
P(apprehension|his) = 0%	
P(motive,|his) = 0%	
P(appearance|his) = 0%	
P(armor,|his) = 0%	
P(governor|his) = 0%	
P(chimney,|his) = 0%	
P(aim|his) = 0%	
P(career|his) = 0%	
P(contemporaries.|his) = 0%	
P(hauberk|his) = 0%	
P(will,|his) = 0%	
P(demesne,|his) = 0%	
P(hauberk,|his) = 0%	
P(aid|his) = 0%	
P(armor;|his) = 0%	
P(life,|his) = 0%	
P(name,|his) = 0%	
P(restoration|his) = 0%	
P(apulian|his) = 0%	
P(predecessor,|his) = 0%	
P(predecessor.|his) = 0%	
P(century|his) = 0%	
P(brow|his) = 0%	
P(reception;|his) = 0%	
P(person,|his) = 0%	
P(birth,|his) = 0%	
P(sons.|his) = 0%	
P(renunciation|his) = 0%	
P(appearance.|his) = 0%	
P(disadvantage,|his) = 0%	
P(consent;|his) = 0%	
P(property|his) = 0%	
P(ship|his) = 0%	
P(chase|his) = 0%	
P(magnificent|his) = 0%	
P(capture|his) = 0%	
P(clerical|his) = 0%	
P(fate|his) = 0%	
P(camp.|his) = 0%	
P(rear,|his) = 0%	
P(powers|his) = 0%	
P(fief,|his) = 0%	
P(administration|his) = 0%	
P(heirs|his) = 0%	
P(sovereign.|his) = 0%	
P(discourse|his) = 0%	
P(ring,|his) = 0%	
P(followers|his) = 0%	
P(flock,|his) = 0%	
P(party|his) = 0%	
P(disciple|his) = 0%	
P(daughters|his) = 0%	
P(way.|his) = 0%	
P(noble|his) = 0%	
P(affairs|his) = 0%	
P(sureties|his) = 0%	
P(refusal|his) = 0%	
P(conversion|his) = 0%	
P(power,|his) = 0%	
P(companion|his) = 0%	
P(arrogance,|his) = 0%	
P(purpose|his) = 0%	
P(opinion|his) = 0%	
P(sisters|his) = 0%	
P(crusade.|his) = 0%	
P(crusade,|his) = 0%	
P(judgment|his) = 0%	
P(sons:|his) = 0%	
P(predecessors|his) = 0%	
P(recent|his) = 0%	
P(proud|his) = 0%	
P(daughter,|his) = 0%	
P(task|his) = 0%	
P(heir;|his) = 0%	
P(mother's|his) = 0%	
P(people,|his) = 0%	
P(people.|his) = 0%	
P(humble|his) = 0%	
P(absence;|his) = 0%	
P(more|his) = 0%	
P(battle-axe|his) = 0%	
P(command|his) = 0%	
P(greatest|his) = 0%	
P(mother|his) = 0%	
P(childhood.|his) = 0%	
P(entry|his) = 0%	
P(absence,|his) = 0%	
P(people:|his) = 0%	
P(latest|his) = 0%	
P(dream,|his) = 0%	
P(abilities|his) = 0%	
P(stores|his) = 0%	
P(enemy,|his) = 0%	
P(company.|his) = 0%	
P(being|his) = 0%	
P(hands|his) = 0%	
P(young|his) = 0%	
P(victims.|his) = 0%	
P(dominion,|his) = 0%	
P(efforts,|his) = 0%	
P(feet,|his) = 0%	
P(love|his) = 0%	
P(doctrines,|his) = 0%	
P(standard,|his) = 0%	
P(death|his) = 0%	
P(repentance,|his) = 0%	
P(warriors,|his) = 0%	
P(piracies|his) = 0%	
P(host.|his) = 0%	
P(thigh,|his) = 0%	
P(ally,|his) = 0%	
P(character|his) = 0%	
P(complainings,|his) = 0%	
P(wisdom,|his) = 0%	
P(repentance;|his) = 0%	
P(capital,|his) = 0%	
P(capital.|his) = 0%	
P(suavity,|his) = 0%	
P(successor|his) = 0%	
P(simony,|his) = 0%	
P(bones,|his) = 0%	
P(example,|his) = 0%	
P(kingdom|his) = 0%	
P(wife.|his) = 0%	
P(elevation|his) = 0%	
P(increased|his) = 0%	
P(adversaries|his) = 0%	
P(dignity|his) = 0%	
P(rights,|his) = 0%	
P(views,|his) = 0%	
P(rights.|his) = 0%	
P(condemnation|his) = 0%	
P(dominions|his) = 0%	
P(abdication;|his) = 0%	
P(allegiance|his) = 0%	
P(royalty|his) = 0%	
P(traffic|his) = 0%	
P(usual|his) = 0%	
P(birth|his) = 0%	
P(realm|his) = 0%	
P(destruction,|his) = 0%	
P(chamberlains|his) = 0%	
P(projects|his) = 0%	
P(name|his) = 0%	
P(desire|his) = 0%	
P(career,|his) = 0%	
P(paternity,|his) = 0%	
P(submission|his) = 0%	
P(justice,|his) = 0%	
P(country.|his) = 0%	
P(mother-in-law|his) = 0%	
P(country,|his) = 0%	
P(audience|his) = 0%	
P(miraculous|his) = 0%	
P(table.|his) = 0%	
P(witan,|his) = 0%	
P(two|his) = 0%	
P(twelve|his) = 0%	
P(right|his) = 0%	
P(old|his) = 0%	
P(inability|his) = 0%	
P(people|his) = 1%	
P(departure,|his) = 0%	
P(crown|his) = 0%	
P(authority|his) = 0%	
P(hair|his) = 0%	
P(calculated|his) = 0%	
P(lips|his) = 0%	
P(sword|his) = 0%	
P(election|his) = 0%	
